09-05 15:25:32.073 I/OPENHU  ( 2921): [2] AutomationReceiver.onReceive | AutomationReceiver: com.andrerinas.openheadunit.ACTION_LOG_MARKER
09-05 15:25:32.160 W/OPENHU  ( 2921): [2] AutomationEffectRunner.run | AutomationMarker: R14b-launch
09-05 15:25:32.434 I/OPENHU  ( 2921): [2] MainActivity.logLaunchSource | App launched by third party: android-app://com.android.shell (action: null)
09-05 15:25:32.709 I/OPENHU  ( 2921): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: USB list sees 0 USB device(s), 0 usable for Android Auto
09-05 15:25:32.710 I/OPENHU  ( 2921): [2] UsbDeviceDiagnostics.logDeviceList | UsbDiagnostics: nothing is on the bus. Either the port carries no data, the unit is not in USB host mode, or a wireless adapter is waiting for its phone before it presents itself.
09-05 15:25:32.941 I/OPENHU  ( 2921): [2] HomeFragment.onResume | HomeFragment: onResume. isConnected=false
09-05 15:25:32.973 I/OPENHU  ( 2921): [2] HomeFragment.checkNativeDriverSelectionOnStartup | HomeFragment: Unambiguous driver (motorola edge 30 neo) - auto-connecting directly without prompt
09-05 15:25:32.974 I/OPENHU  ( 2921): [2] HomeFragment.connectToNativeDevice | HomeFragment: Connecting to Native-AA device: motorola edge 30 neo (A0:46:5A:97:E4:95), btConnected=true
09-05 15:25:32.975 I/OPENHU  ( 2921): [2] MainActivity.beginAutoConnect | Auto-connect: begin (Native-AA driver: motorola edge 30 neo, mode=OVERLAY)
09-05 15:25:33.049 I/OPENHU  ( 2921): [2] AapService.onCreate | AapService creating...
09-05 15:25:33.075 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == Bluetooth address source dump ==
09-05 15:25:33.080 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   adapter.address                      = 02:00:00:00:00:00
09-05 15:25:33.081 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   getAddress() reflection              = 02:00:00:00:00:00
09-05 15:25:33.081 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   Settings.Secure bluetooth_address    = null
09-05 15:25:33.082 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bt.mac          = null
09-05 15:25:33.083 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.btmac           = null
09-05 15:25:33.083 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.vendor.bt.mac       = null
09-05 15:25:33.084 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.mac                  = null
09-05 15:25:33.085 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.sys.bluetooth.mac   = null
09-05 15:25:33.085 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property ro.boot.btmacaddr           = null
09-05 15:25:33.086 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property vendor.bt.bdaddr            = null
09-05 15:25:33.086 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zj.BTmac            = null
09-05 15:25:33.087 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property persist.zlink.carplay.mac   = null
09-05 15:25:33.088 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper:   property sys.bt.bdaddr               = null
09-05 15:25:33.088 I/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: == end Bluetooth address source dump ==
09-05 15:25:33.089 W/OPENHU  ( 2921): [2] BluetoothHelper.logAddressSourceDump | BluetoothHelper: no source named this unit's Bluetooth address. Read it under Settings/About/Status, or off the paired phone under the gear beside this device, and enter it under Wireless connection. Without it the phone is not told where to connect hands-free and no setup QR can be drawn.
09-05 15:25:33.120 I/OPENHU  ( 2921): [2] AapService.registerReceivers | Registered runtime MEDIA_BUTTON receiver
09-05 15:25:33.123 I/OPENHU  ( 2921): [2] AapService.registerReceivers | Registered dynamic WiFi Auto-start receiver
09-05 15:25:33.126 I/OPENHU  ( 2921): [2] AapService.registerReceivers | Registered wake detection receiver (18 actions)
09-05 15:25:33.129 I/OPENHU  ( 2921): [2] AapService.registerReceivers | Registered Bluetooth auto-disconnect receiver
09-05 15:25:33.165 I/OPENHU  ( 2921): [2] WifiLauncherManager.setActive | WifiLauncher: Initializing WiFi Mode: NATIVE
09-05 15:25:33.177 I/OPENHU  ( 2921): [2] WifiDirectManager.<init> | WifiDirectManager: Device supports WiFi Direct. Initializing...
09-05 15:25:33.193 I/OPENHU  ( 2921): [2] WirelessServer.start | WirelessServer: binding port 5288...
09-05 15:25:33.196 I/OPENHU  ( 2921): [51] 1.invokeSuspend | Wireless Server listening on port 5288
09-05 15:25:33.200 I/OPENHU  ( 2921): [51] WirelessServer.logLocalNetworkInterfaces | Interface: seth_lte0, IP: 10.14.245.165
09-05 15:25:33.200 I/OPENHU  ( 2921): [51] WirelessServer.logLocalNetworkInterfaces | Interface: wlan0, IP: 192.168.1.8
09-05 15:25:33.201 I/OPENHU  ( 2921): [51] WirelessServer.logLocalNetworkInterfaces | Interface: p2p-wlan0-0, IP: 192.168.49.1
09-05 15:25:33.209 I/OPENHU  ( 2921): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (bringing the Native AA group up); a refresh in the next 15s waits for it.
09-05 15:25:33.213 I/OPENHU  ( 2921): [2] WifiDirectManager.startNativeAaQuietHost | WifiDirectManager: startNativeAaQuietHost() requested. Removing old group if any...
09-05 15:25:33.214 I/OPENHU  ( 2921): [2] WifiDirectManager.claimNativeCreateWindow | WifiDirectManager: a Native AA group create is claimed (recreating the group); a refresh in the next 15s waits for it.
09-05 15:25:33.215 I/OPENHU  ( 2921): [2] WifiDirectManager.invalidateNativeGroupCredentials | WifiDirectManager: the group is being removed (recreating the group), so its credentials are no longer handed out.
09-05 15:25:33.225 I/OPENHU  ( 2921): [2] NativeAaHandshakeManager.start | NativeAA: Starting Bluetooth Handshake Servers (primary radio [Navegadortz2])...
09-05 15:25:33.234 I/OPENHU  ( 2921): [2] NativeAaHandshakeManager.shouldRegisterDummyHfp | NativeAA: radio [Navegadortz2] already advertises Hands-Free, so the stand-in HFP record is not registered - the real stack answers calls, this app cannot.
09-05 15:25:33.235 I/OPENHU  ( 2921): [52] 1.invokeSuspend | NativeAA: ACTIVELY LISTENING on Android Auto UUID (4de17a00-52cb-11e6-bdf4-0800200c9a66) on radio [Navegadortz2]... Waiting for phone to connect back!
09-05 15:25:33.315 I/OPENHU  ( 2921): [2] AapService.registerNetworkMonitor | NetworkMonitor: Registered network change listener
09-05 15:25:33.325 I/OPENHU  ( 2921): [54] 1.onAvailable | NetworkMonitor: Network available: 100
09-05 15:25:33.340 I/OPENHU  ( 2921): [53] 1.invokeSuspend | WppTcpServer: listening for Android Auto on TCP 5299
09-05 15:25:33.343 I/OPENHU  ( 2921): [2] AapService.onStartCommand | AapService: Received manual Native-AA poke request for A0:46:5A:97:E4:95
09-05 15:25:33.344 I/OPENHU  ( 2921): [2] NativeAaHandshakeManager.selectDriver | NativeAA: Driver selected: A0:46:5A:97:E4:95
09-05 15:25:33.348 I/OPENHU  ( 2921): [2] NativeAaHandshakeManager.manualPoke | NativeAA: Manual poke requested for motorola edge 30 neo (A0:46:5A:97:E4:95)
09-05 15:25:33.351 I/OPENHU  ( 2921): [58] 1.invokeSuspend | NativeAA: WiFi credentials not ready before manual poke. Requesting WiFi refresh...
09-05 15:25:33.351 I/OPENHU  ( 2921): [58] WifiLauncherNative.triggerWifiDirectRefresh | AapService: WiFi Direct credential refresh requested.
09-05 15:25:33.812 I/OPENHU  ( 2921): [2] 1.onReceive | WifiDirectManager: WIFI_P2P_STATE_CHANGED_ACTION state=2
